ot_id,activo_id,fecha_apertura,fecha_cierre,tipo_ot,sistema,componente,modo_falla,descripcion_falla,odometro_km,horometro_h,taller_id,costo_total_clp,responsable,observaciones,created_at
OT-2024-001,ACE-001,2026-03-15 08:30:00+00:00,2026-03-15 16:45:00+00:00,Correctiva,Motor,Filtro de Aire,Obstrucción,Filtro de aire obstruido por polvo excesivo,125000,4500,TALLER-01,45000,Juan García,Reemplazo de filtro realizado correctamente,2026-03-15 08:30:00+00:00
OT-2024-002,ACE-002,2026-03-16 09:15:00+00:00,2026-03-17 14:30:00+00:00,Preventiva,Sistema de Frenos,Pastillas de Freno,Desgaste,Pastillas de freno desgastadas requieren reemplazo,95000,3200,TALLER-01,180000,Carlos López,Cambio de pastillas completo con lubricante,2026-03-16 09:15:00+00:00
OT-2024-003,ACE-003,2026-03-17 10:00:00+00:00,2026-03-18 15:20:00+00:00,Correctiva,Transmisión,Aceite,Fuga,Fuga de aceite en transmisión detectada,180000,5100,TALLER-02,220000,María Rodríguez,Sello reemplazado nuevo,2026-03-17 10:00:00+00:00
OT-2024-004,ACE-004,2026-03-18 07:45:00+00:00,2026-03-18 17:30:00+00:00,Preventiva,Sistema Eléctrico,Batería,Carga insuficiente,Batería con bajo rendimiento en arranques,45000,2100,TALLER-01,125000,Roberto Martínez,Batería reemplazada exitosamente,2026-03-18 07:45:00+00:00
OT-2024-005,ACE-005,2026-03-19 08:00:00+00:00,2026-03-20 16:00:00+00:00,Correctiva,Sistema de Suspensión,Amortiguadores,Daño,Amortiguador frontal dañado por impacto,220000,6200,TALLER-03,150000,Felipe Sánchez,Reemplazo de amortiguador frontal completo,2026-03-19 08:00:00+00:00
OT-2024-006,ACE-001,2026-03-20 09:30:00+00:00,2026-03-20 13:45:00+00:00,Preventiva,Motor,Bujías,Ensuciamiento,Bujías ensuciadas requieren limpieza,125500,4520,TALLER-02,75000,Juan García,Limpieza y ajuste de bujías realizado,2026-03-20 09:30:00+00:00
OT-2024-007,ACE-002,2026-03-21 10:15:00+00:00,2026-03-22 11:30:00+00:00,Correctiva,Sistema de Enfriamiento,Radiador,Obstrucción,Radiador parcialmente obstruido por sedimento,95500,3220,TALLER-01,95000,Carlos López,Limpieza del radiador profunda,2026-03-21 10:15:00+00:00
OT-2024-008,ACE-003,2026-03-22 08:30:00+00:00,2026-03-22 18:15:00+00:00,Preventiva,Sistema de Combustible,Filtro de Combustible,Contaminación,Filtro contaminado por impurezas,180200,5110,TALLER-02,65000,María Rodríguez,Cambio de filtro de combustible nuevo,2026-03-22 08:30:00+00:00
OT-2024-009,ACE-004,2026-03-23 07:00:00+00:00,2026-03-24 14:20:00+00:00,Correctiva,Sistema Hidráulico,Mangueras,Fuga,Fuga en manguera hidráulica principal,45100,2110,TALLER-03,185000,Roberto Martínez,Reemplazo de manguera hidráulica,2026-03-23 07:00:00+00:00
OT-2024-010,ACE-005,2026-03-24 09:45:00+00:00,2026-03-24 16:30:00+00:00,Preventiva,Sistema de Dirección,Aceite de Dirección,Bajo nivel,Nivel bajo de aceite en sistema de dirección,220100,6210,TALLER-01,55000,Felipe Sánchez,Recarga de aceite de dirección realizada,2026-03-24 09:45:00+00:00
OT-2024-011,ACE-001,2026-03-25 08:15:00+00:00,2026-03-25 17:45:00+00:00,Correctiva,Motor,Cigüeñal,Desgaste,Cigüeñal con desgaste excesivo requiere rectificado,125600,4540,TALLER-02,450000,Juan García,Rectificado de cigüeñal completo,2026-03-25 08:15:00+00:00
OT-2024-012,ACE-002,2026-03-26 10:30:00+00:00,2026-03-27 13:00:00+00:00,Preventiva,Sistema de Frenos,Discos de Freno,Desgaste,Discos de freno desgastados por uso,95600,3240,TALLER-01,220000,Carlos López,Cambio de discos de freno nuevo,2026-03-26 10:30:00+00:00
OT-2024-013,ACE-003,2026-03-27 09:00:00+00:00,2026-03-28 15:45:00+00:00,Correctiva,Transmisión,Embrague,Deslizamiento,Embrague deslizando causa pérdida potencia,180300,5120,TALLER-03,380000,María Rodríguez,Reemplazo de embrague completo,2026-03-27 09:00:00+00:00
OT-2024-014,ACE-004,2026-03-28 07:30:00+00:00,2026-03-29 16:20:00+00:00,Preventiva,Sistema Eléctrico,Alternador,Funcionamiento deficiente,Alternador con bajo rendimiento,45200,2120,TALLER-02,275000,Roberto Martínez,Reemplazo de alternador nuevo,2026-03-28 07:30:00+00:00
OT-2024-015,ACE-005,2026-03-29 08:45:00+00:00,2026-03-30 14:15:00+00:00,Correctiva,Sistema de Suspensión,Resortes,Fractura,Resorte trasero fracturado,220200,6220,TALLER-01,165000,Felipe Sánchez,Reemplazo de resorte trasero,2026-03-29 08:45:00+00:00
OT-2024-016,ACE-001,2026-03-30 10:00:00+00:00,2026-03-30 15:30:00+00:00,Preventiva,Motor,Turbocompresor,Limpieza,Turbocompresor requiere limpieza profunda,125700,4560,TALLER-02,185000,Juan García,Limpieza de turbo realizada,2026-03-30 10:00:00+00:00
OT-2024-017,ACE-002,2026-03-31 09:15:00+00:00,2026-04-01 12:45:00+00:00,Correctiva,Sistema de Enfriamiento,Termostato,Falla,Termostato no abre correctamente,95700,3260,TALLER-03,95000,Carlos López,Reemplazo de termostato,2026-03-31 09:15:00+00:00
OT-2024-018,ACE-003,2026-04-01 08:30:00+00:00,2026-04-02 16:00:00+00:00,Preventiva,Sistema de Combustible,Bomba de Combustible,Presión baja,Bomba de combustible con presión baja,180400,5130,TALLER-01,275000,María Rodríguez,Reemplazo de bomba de combustible,2026-04-01 08:30:00+00:00
OT-2024-019,ACE-004,2026-04-02 07:45:00+00:00,2026-04-03 15:30:00+00:00,Correctiva,Sistema Hidráulico,Bomba Hidráulica,Fugas,Bomba hidráulica con fugas severas,45300,2130,TALLER-02,325000,Roberto Martínez,Reemplazo de bomba hidráulica,2026-04-02 07:45:00+00:00
OT-2024-020,ACE-005,2026-04-03 09:00:00+00:00,2026-04-04 17:20:00+00:00,Preventiva,Sistema de Dirección,Cremallera,Desgaste,Cremallera de dirección desgastada,220300,6230,TALLER-03,285000,Felipe Sánchez,Reemplazo de cremallera,2026-04-03 09:00:00+00:00
OT-2024-021,ACE-001,2026-04-04 08:20:00+00:00,2026-04-04 16:45:00+00:00,Correctiva,Motor,Válvulas,Daño,Válvulas dañadas requieren rectificado,125800,4580,TALLER-01,420000,Juan García,Rectificado de válvulas,2026-04-04 08:20:00+00:00
OT-2024-022,ACE-002,2026-04-05 10:45:00+00:00,2026-04-06 14:30:00+00:00,Preventiva,Sistema de Frenos,Cilindro Maestro,Fuga,Cilindro maestro de frenos con fuga,95800,3280,TALLER-02,195000,Carlos López,Reemplazo cilindro maestro,2026-04-05 10:45:00+00:00
OT-2024-023,ACE-003,2026-04-06 09:30:00+00:00,2026-04-07 17:15:00+00:00,Correctiva,Transmisión,Caja de Cambios,Ruido,Ruido anormal en caja de cambios,180500,5140,TALLER-03,550000,María Rodríguez,Reparación caja de cambios,2026-04-06 09:30:00+00:00
OT-2024-024,ACE-004,2026-04-07 07:15:00+00:00,2026-04-08 16:00:00+00:00,Preventiva,Sistema Eléctrico,Motor de Arranque,Bajo rendimiento,Motor de arranque con bajo rendimiento,45400,2140,TALLER-01,165000,Roberto Martínez,Reemplazo motor arranque,2026-04-07 07:15:00+00:00
OT-2024-025,ACE-005,2026-04-08 08:50:00+00:00,2026-04-09 15:45:00+00:00,Correctiva,Sistema de Suspensión,Barra Estabilizadora,Fractura,Barra estabilizadora fracturada,220400,6240,TALLER-02,145000,Felipe Sánchez,Reemplazo barra estabilizadora,2026-04-08 08:50:00+00:00
OT-2024-026,ACE-001,2026-04-09 10:15:00+00:00,2026-04-09 14:30:00+00:00,Preventiva,Motor,Correa de Distribución,Tensión,Correa con tensión deficiente,125900,4600,TALLER-03,185000,Juan García,Ajuste tensión correa,2026-04-09 10:15:00+00:00
OT-2024-027,ACE-002,2026-04-10 09:00:00+00:00,2026-04-11 13:20:00+00:00,Correctiva,Sistema de Enfriamiento,Mangueras,Grietas,Grietas en mangueras de refrigeración,95900,3300,TALLER-01,75000,Carlos López,Reemplazo mangueras,2026-04-10 09:00:00+00:00
OT-2024-028,ACE-003,2026-04-11 08:45:00+00:00,2026-04-12 16:30:00+00:00,Preventiva,Sistema de Combustible,Inyectores,Contaminación,Inyectores contaminados requieren limpieza,180600,5150,TALLER-02,245000,María Rodríguez,Limpieza inyectores,2026-04-11 08:45:00+00:00
OT-2024-029,ACE-004,2026-04-12 07:30:00+00:00,2026-04-13 15:15:00+00:00,Correctiva,Sistema Hidráulico,Filtro,Obstrucción,Filtro hidráulico obstruido,45500,2150,TALLER-03,65000,Roberto Martínez,Cambio filtro hidráulico,2026-04-12 07:30:00+00:00
OT-2024-030,ACE-005,2026-04-13 09:20:00+00:00,2026-04-14 17:00:00+00:00,Preventiva,Sistema de Dirección,Juntas,Desgaste,Juntas de dirección desgastadas,220500,6250,TALLER-01,125000,Felipe Sánchez,Reemplazo juntas dirección,2026-04-13 09:20:00+00:00
OT-2024-031,ACE-001,2026-04-14 08:10:00+00:00,2026-04-15 16:25:00+00:00,Correctiva,Motor,Múltiple de Escape,Grieta,Grieta en múltiple de escape,126000,4620,TALLER-02,195000,Juan García,Soldadura múltiple escape,2026-04-14 08:10:00+00:00
OT-2024-032,ACE-002,2026-04-15 10:30:00+00:00,2026-04-16 12:45:00+00:00,Preventiva,Sistema de Frenos,Pastillas Traseras,Desgaste,Pastillas traseras desgastadas,96000,3320,TALLER-03,165000,Carlos López,Cambio pastillas traseras,2026-04-15 10:30:00+00:00
OT-2024-033,ACE-003,2026-04-16 09:15:00+00:00,2026-04-17 15:30:00+00:00,Correctiva,Transmisión,Junta,Fuga,Fuga en junta de transmisión,180700,5160,TALLER-01,85000,María Rodríguez,Cambio junta transmisión,2026-04-16 09:15:00+00:00
OT-2024-034,ACE-004,2026-04-17 07:45:00+00:00,2026-04-18 16:10:00+00:00,Preventiva,Sistema Eléctrico,Cables,Corrosión,Cables eléctricos con corrosión,45600,2160,TALLER-02,55000,Roberto Martínez,Limpieza y reemplazo cables,2026-04-17 07:45:00+00:00
OT-2024-035,ACE-005,2026-04-18 08:30:00+00:00,2026-04-19 14:50:00+00:00,Correctiva,Sistema de Suspensión,Puntas de Eje,Desgaste,Puntas de eje con desgaste extremo,220600,6260,TALLER-03,175000,Felipe Sánchez,Reemplazo puntas eje,2026-04-18 08:30:00+00:00
OT-2024-036,ACE-001,2026-04-19 10:00:00+00:00,2026-04-20 15:40:00+00:00,Preventiva,Motor,Inyectores,Limpieza,Inyectores del motor requieren limpieza,126100,4640,TALLER-01,145000,Juan García,Limpieza inyectores motor,2026-04-19 10:00:00+00:00
OT-2024-037,ACE-002,2026-04-20 09:45:00+00:00,2026-04-21 13:30:00+00:00,Correctiva,Sistema de Enfriamiento,Válvula Termostática,Falla,Válvula termostática defectuosa,96100,3340,TALLER-02,95000,Carlos López,Reemplazo válvula,2026-04-20 09:45:00+00:00
OT-2024-038,ACE-003,2026-04-21 08:20:00+00:00,2026-04-22 17:00:00+00:00,Preventiva,Sistema de Combustible,Regulador de Presión,Calibración,Regulador con presión incorrecta,180800,5170,TALLER-03,75000,María Rodríguez,Calibración regulador,2026-04-21 08:20:00+00:00
OT-2024-039,ACE-004,2026-04-22 07:50:00+00:00,2026-04-23 15:35:00+00:00,Correctiva,Sistema Hidráulico,Cilindros,Daño,Cilindro hidráulico dañado,45700,2170,TALLER-01,285000,Roberto Martínez,Reemplazo cilindro,2026-04-22 07:50:00+00:00
OT-2024-040,ACE-005,2026-04-23 09:30:00+00:00,2026-04-24 16:45:00+00:00,Preventiva,Sistema de Dirección,Bomba de Dirección,Mantenimiento,Bomba de dirección requiere mantenimiento,220700,6270,TALLER-02,95000,Felipe Sánchez,Mantenimiento bomba dirección,2026-04-23 09:30:00+00:00
OT-2024-041,ACE-001,2026-04-24 08:40:00+00:00,2026-04-25 14:20:00+00:00,Correctiva,Motor,Sensor Lambda,Falla,Sensor Lambda defectuoso,126200,4660,TALLER-03,75000,Juan García,Reemplazo sensor lambda,2026-04-24 08:40:00+00:00
OT-2024-042,ACE-002,2026-04-25 10:15:00+00:00,2026-04-26 15:50:00+00:00,Preventiva,Sistema de Frenos,Pastillas Delanteras,Desgaste,Pastillas delanteras muy desgastadas,96200,3360,TALLER-01,195000,Carlos López,Cambio pastillas delanteras,2026-04-25 10:15:00+00:00
OT-2024-043,ACE-003,2026-04-26 09:05:00+00:00,2026-04-27 16:15:00+00:00,Correctiva,Transmisión,Sello del Diferencial,Fuga,Fuga en sello del diferencial,180900,5180,TALLER-02,145000,María Rodríguez,Cambio sello diferencial,2026-04-26 09:05:00+00:00
OT-2024-044,ACE-004,2026-04-27 07:35:00+00:00,2026-04-28 14:45:00+00:00,Preventiva,Sistema Eléctrico,Regulador de Carga,Funcionamiento,Regulador no funciona correctamente,45800,2180,TALLER-03,165000,Roberto Martínez,Reemplazo regulador carga,2026-04-27 07:35:00+00:00
OT-2024-045,ACE-005,2026-04-28 08:25:00+00:00,2026-05-01 17:30:00+00:00,Correctiva,Sistema de Suspensión,Casquetes,Rotura,Casquetes de suspensión rotos,220800,6280,TALLER-01,155000,Felipe Sánchez,Reemplazo casquetes,2026-04-28 08:25:00+00:00
OT-2024-046,ACE-001,2026-05-01 10:20:00+00:00,2026-05-02 15:10:00+00:00,Preventiva,Motor,Cárter,Limpieza,Cárter del motor requiere limpieza profunda,126300,4680,TALLER-02,85000,Juan García,Limpieza cárter,2026-05-01 10:20:00+00:00
OT-2024-047,ACE-002,2026-05-02 09:30:00+00:00,2026-05-03 13:15:00+00:00,Correctiva,Sistema de Enfriamiento,Ventilador,Falla,Ventilador de refrigeración no funciona,96300,3380,TALLER-03,125000,Carlos López,Reemplazo ventilador,2026-05-02 09:30:00+00:00
OT-2024-048,ACE-003,2026-05-03 08:50:00+00:00,2026-05-04 15:45:00+00:00,Preventiva,Sistema de Combustible,Tanque,Limpieza,Tanque de combustible requiere limpieza,181000,5190,TALLER-01,165000,María Rodríguez,Limpieza tanque combustible,2026-05-03 08:50:00+00:00
OT-2024-049,ACE-004,2026-05-04 07:20:00+00:00,2026-05-05 16:30:00+00:00,Correctiva,Sistema Hidráulico,Tuberías,Corrosión,Tuberías hidráulicas corrosionadas,45900,2190,TALLER-02,195000,Roberto Martínez,Reemplazo tuberías,2026-05-04 07:20:00+00:00
OT-2024-050,ACE-005,2026-05-05 09:10:00+00:00,2026-05-06 14:35:00+00:00,Preventiva,Sistema de Dirección,Rueda,Balanceo,Ruedas requieren balanceo,220900,6290,TALLER-03,95000,Felipe Sánchez,Balanceo de ruedas,2026-05-05 09:10:00+00:00
